Author,Comment,Likes,Published
@merehumsafar5064,Bhai Tera choice ghatiya ha,0,2026-09-23T15:04:48Z
@arifhussain4798,Kounse company ka tv tha bro.....,0,2026-09-06T15:33:35Z
@maddy88910,"Baggy jeans bolke ekbhi atcha baggy nhi dikhaya 😂 only H&M he atcha tha , you should try blurvillage , off duty ,glitches for budge baggy jeans",0,2026-09-03T14:56:38Z
@Grewal0007,Pepe jeans??,1,2026-09-03T12:10:08Z
@filmoffury3333,"Jack n Jones is a Danish brand, search to karlo video banane se pehle.",0,2026-09-02T12:51:40Z
@PureJazz23,Jack and Jones is not indian 😂,0,2026-08-23T05:55:27Z
@amit_writer234,By the way jack jones from denmark not from india,0,2026-07-24T21:08:26Z
@anandchainani2,Ho Bindaass ki jeans try karo 👌,0,2026-07-24T11:45:24Z
@himanshusaini7950,Off duty jeans,0,2026-07-23T18:41:02Z
@strangerforyouuu,Hum hai gareeb hum ganto laga dete hai 1000 ke under dhondhne mai😂,2,2026-07-23T10:08:50Z
@vishalmoral9695,Try -snitch off duty,0,2026-07-17T18:38:24Z
@Dheeraj25-h6t,Bhaiya app levis ki jeans ke fits ke upar  video bana do,0,2026-07-16T20:22:18Z
@siddharthkanhai6537,If you are comparing jeans then you need to include American eagle in the comparison!,0,2026-07-16T18:31:34Z
@SpaceUnlocked0,"Bro westside,snitch,powerlook inke bhi bata do yr and straight fit me ya wide leg me",0,2026-07-15T14:30:27Z
@MdabrarAli-t3h,Patle boys ke best jeans kon sa rahega plz bhaiya reply😢,0,2026-07-13T18:24:02Z
@THESHOWSTV,Bro Levi's pe lao bootcut ko v cover kro,0,2026-07-13T18:03:21Z
@1245klo,Zara,0,2026-07-12T16:59:20Z
@irfanhaque2193,do off duty and indian garage please,0,2026-07-12T05:43:19Z
@shaddy.74,Freakins ka jeans kaise lunn,0,2026-07-11T21:29:21Z
@AshutoshKumaryadav-w6j,Review Levi's all fits,0,2026-07-11T11:40:43Z
@riogamingyt3362,Olga perfume ka video lao,0,2026-07-11T05:27:26Z
@riogamingyt3362,Olga perfume ka video lao,0,2026-07-11T05:27:17Z
@riogamingyt3362,Olga perfume ka video lao,0,2026-07-11T05:26:55Z
@riogamingyt3362,Olga perfume ka video lao,0,2026-07-11T05:26:39Z
@mrpatchybeard1690,Urbano is shittt bhai...why ??? itna wahiyyat kapda h,0,2026-07-10T22:26:02Z
@QWERTY-fq9dg,Its Levi's and h&m for me. Will try jack & jones next,8,2026-07-10T15:53:53Z
@ManojSingh-yg3xn,Bhai bootcut ki video banado please,0,2026-07-10T14:48:08Z
@ವಾತ್ಸಲ್ರರಾಕಿಂಗ್ಸ್ಟಾರ್ವತ್ಸಲ್,"My Choice: Ralph Lauren, Abercrombie & Fitch, Tommy Hilfiger, Tommy Jeans, Levis, True Religion 🫶🩷",0,2026-07-10T13:08:06Z
@mdkader6445,"Jack and Jones isn't an Indian brand, it's a Danish brand!",0,2026-07-10T11:27:33Z
@just7minute554,Lee levis pepe jeans wrangler sab bhool gye yr,0,2026-07-10T08:17:36Z
@suman-hazra-00,"Best -  1. Snitch, 2. Dnmx , 3. Yousta and zudio in budget!",12,2026-07-10T06:16:08Z
@bhanuprataps1556,souled store bottomwear and best casual jackets,0,2026-07-10T04:15:17Z
@NobleKage,Tommy Hilfiger,1,2026-07-09T21:48:44Z
@Timeless2529,bhai BONKERS CORNER ke pujama and tshirts ka review karo,0,2026-07-09T19:01:09Z
@Madhav_mv_123,Jack and Jones superb ❤,0,2026-07-09T18:49:57Z
@ArghyaBarman_0,Bhai firvi Kitna jeans hoga apke pas ???,0,2026-07-09T18:25:45Z
@SilentMonk-p6k,H&M mast he under3000 jeans,0,2026-07-09T17:30:24Z
@KanakLahkar,Dhxhzhzuzu I,0,2026-07-09T17:06:28Z
@yashak2219,Snitch kidhar hai bhai youtube ke ad me to halla macha rakha hai🤔🤔🤔🧐🧐 😂😂😂,0,2026-07-09T10:26:00Z
@asifkhan-ss9ft,Half sleeve shirt pe bhi asi video ho jaye,0,2026-07-09T07:47:48Z
@Ajayransore19,Tu rhene de bhai,0,2026-07-09T05:56:38Z
