Author,Comment,Likes,Published,Comment_Length,Word_Count,Tokens
@RaaviNarayana-k8w,,0,2026-04-17 12:25:16+00:00,2,1,[]
@YakariSwapna,,1,2026-03-16 16:29:58+00:00,5,1,[]
@laddu14487,koti gaaru trivikram srinivas gaaru best movie,0,2025-11-06 14:11:59+00:00,50,9,"['koti', 'gaaru', 'trivikram', 'srinivas', 'gaaru', 'best', 'movie']"
@ShakerAkkala,venkatesh sat rep naveena pregnet born lenin congress party,0,2025-09-23 14:42:06+00:00,60,9,"['venkatesh', 'sat', 'rep', 'naveena', 'pregnet', 'born', 'lenin', 'congress', 'party']"
@ajariajay2068,thank you for inviting me raju garu,0,2025-07-19 14:51:58+00:00,38,7,"['thank', 'you', 'for', 'inviting', 'me', 'raju', 'garu']"
@ajariajay2068,definitely i will meet you anna,0,2025-07-19 14:51:27+00:00,31,6,"['definitely', 'i', 'will', 'meet', 'you', 'anna']"
@ajariajay2068,,0,2025-07-19 14:51:04+00:00,3,1,[]
@koteswarao1987,pelli kosam ekkani gudi ledu mokkani gudi ledu nenu kuda anthe,1,2024-08-02 08:29:42+00:00,69,12,"['pelli', 'kosam', 'ekkani', 'gudi', 'ledu', 'mokkani', 'gudi', 'ledu', 'nenu', 'kuda', 'anthe']"
@anilkumarvurimi9792,645,0,2024-04-14 09:22:13+00:00,4,1,['645']
@ajariajay2068,,0,2024-04-09 07:47:06+00:00,2,1,[]
@MadhuSuresh-c8i,eppudu chosina fresh gani unnatiddo,1,2024-01-23 06:51:09+00:00,37,5,"['eppudu', 'chosina', 'fresh', 'gani', 'unnatiddo']"
@santhoshvenkata2806,this is one of my favourite movie and comedy is superb i like it so much,5,2024-01-12 15:40:22+00:00,80,17,"['this', 'is', 'one', 'of', 'my', 'favourite', 'movie', 'and', 'comedy', 'is', 'superb', 'i', 'like', 'it', 'so', 'much']"
@dannanidurgarao8731,1358,3,2024-01-09 18:20:22+00:00,13,2,['1358']
@alliswell7097,1214 to 1228 adi nijame,4,2023-12-16 11:13:16+00:00,29,6,"['1214', 'to', '1228', 'adi', 'nijame']"
@nareshsalla2509,super comedy,0,2023-12-15 05:26:29+00:00,18,3,"['super', 'comedy']"
@singurumuralimohan5609,3004 bgm,5,2023-12-10 15:20:15+00:00,11,2,"['3004', 'bgm']"
@XxrAyxXwOlF,nice,1,2023-08-07 18:05:03+00:00,4,1,['nice']
@XxrAyxXwOlF,a,0,2023-08-07 18:04:48+00:00,1,1,['a']
@Vijay-1992,good,0,2023-08-07 05:21:23+00:00,4,1,['good']
@anjanaparthasarathi7032,,0,2023-08-06 17:55:44+00:00,2,1,[]
@MadhuBeeragouni,1605 mr bean scene,3,2023-08-06 13:20:27+00:00,19,4,"['1605', 'mr', 'bean', 'scene']"
