Author,Comment,Likes,Published,Comment_Length,Word_Count,Sentiment
@merehumsafar5064,Bhai Tera choice ghatiya ha,0,2026-09-23 15:04:48+00:00,27,5,Positive
@arifhussain4798,Kounse company ka tv tha bro.....,0,2026-09-06 15:33:35+00:00,33,6,Neutral
@maddy88910,"Baggy jeans bolke ekbhi atcha baggy nhi dikhaya 😂 only H&M he atcha tha , you should try blurvillage , off duty ,glitches for budge baggy jeans",0,2026-09-03 14:56:38+00:00,143,27,Positive
@Grewal0007,Pepe jeans??,1,2026-09-03 12:10:08+00:00,12,2,Neutral
@filmoffury3333,"Jack n Jones is a Danish brand, search to karlo video banane se pehle.",0,2026-09-02 12:51:40+00:00,70,14,Neutral
@PureJazz23,Jack and Jones is not indian 😂,0,2026-08-23 05:55:27+00:00,30,7,Positive
@amit_writer234,By the way jack jones from denmark not from india,0,2026-07-24 21:08:26+00:00,49,10,Neutral
@anandchainani2,Ho Bindaass ki jeans try karo 👌,0,2026-07-24 11:45:24+00:00,31,7,Positive
@himanshusaini7950,Off duty jeans,0,2026-07-23 18:41:02+00:00,14,3,Neutral
@strangerforyouuu,Hum hai gareeb hum ganto laga dete hai 1000 ke under dhondhne mai😂,2,2026-07-23 10:08:50+00:00,66,13,Positive
@vishalmoral9695,Try -snitch off duty,0,2026-07-17 18:38:24+00:00,20,4,Neutral
@Dheeraj25-h6t,Bhaiya app levis ki jeans ke fits ke upar  video bana do,0,2026-07-16 20:22:18+00:00,56,12,Neutral
@siddharthkanhai6537,If you are comparing jeans then you need to include American eagle in the comparison!,0,2026-07-16 18:31:34+00:00,85,15,Neutral
@SpaceUnlocked0,"Bro westside,snitch,powerlook inke bhi bata do yr and straight fit me ya wide leg me",0,2026-07-15 14:30:27+00:00,84,15,Positive
@MdabrarAli-t3h,Patle boys ke best jeans kon sa rahega plz bhaiya reply😢,0,2026-07-13 18:24:02+00:00,56,11,Positive
@THESHOWSTV,Bro Levi's pe lao bootcut ko v cover kro,0,2026-07-13 18:03:21+00:00,40,9,Neutral
@1245klo,Zara,0,2026-07-12 16:59:20+00:00,4,1,Neutral
@irfanhaque2193,do off duty and indian garage please,0,2026-07-12 05:43:19+00:00,36,7,Positive
@shaddy.74,Freakins ka jeans kaise lunn,0,2026-07-11 21:29:21+00:00,28,5,Neutral
@AshutoshKumaryadav-w6j,Review Levi's all fits,0,2026-07-11 11:40:43+00:00,22,4,Neutral
@riogamingyt3362,Olga perfume ka video lao,0,2026-07-11 05:27:26+00:00,25,5,Neutral
@riogamingyt3362,Olga perfume ka video lao,0,2026-07-11 05:27:17+00:00,25,5,Neutral
@riogamingyt3362,Olga perfume ka video lao,0,2026-07-11 05:26:55+00:00,25,5,Neutral
@riogamingyt3362,Olga perfume ka video lao,0,2026-07-11 05:26:39+00:00,25,5,Neutral
@mrpatchybeard1690,Urbano is shittt bhai...why ??? itna wahiyyat kapda h,0,2026-07-10 22:26:02+00:00,53,9,Neutral
@QWERTY-fq9dg,Its Levi's and h&m for me. Will try jack & jones next,8,2026-07-10 15:53:53+00:00,53,12,Neutral
@ManojSingh-yg3xn,Bhai bootcut ki video banado please,0,2026-07-10 14:48:08+00:00,35,6,Positive
@ವಾತ್ಸಲ್ರರಾಕಿಂಗ್ಸ್ಟಾರ್ವತ್ಸಲ್,"My Choice: Ralph Lauren, Abercrombie & Fitch, Tommy Hilfiger, Tommy Jeans, Levis, True Religion 🫶🩷",0,2026-07-10 13:08:06+00:00,98,15,Positive
@mdkader6445,"Jack and Jones isn't an Indian brand, it's a Danish brand!",0,2026-07-10 11:27:33+00:00,58,11,Neutral
@just7minute554,Lee levis pepe jeans wrangler sab bhool gye yr,0,2026-07-10 08:17:36+00:00,46,9,Neutral
@suman-hazra-00,"Best -  1. Snitch, 2. Dnmx , 3. Yousta and zudio in budget!",12,2026-07-10 06:16:08+00:00,59,13,Positive
@bhanuprataps1556,souled store bottomwear and best casual jackets,0,2026-07-10 04:15:17+00:00,47,7,Positive
@NobleKage,Tommy Hilfiger,1,2026-07-09 21:48:44+00:00,14,2,Neutral
@Timeless2529,bhai BONKERS CORNER ke pujama and tshirts ka review karo,0,2026-07-09 19:01:09+00:00,56,10,Neutral
@Madhav_mv_123,Jack and Jones superb ❤,0,2026-07-09 18:49:57+00:00,23,5,Positive
@ArghyaBarman_0,Bhai firvi Kitna jeans hoga apke pas ???,0,2026-07-09 18:25:45+00:00,40,8,Neutral
@SilentMonk-p6k,H&M mast he under3000 jeans,0,2026-07-09 17:30:24+00:00,27,5,Neutral
@KanakLahkar,Dhxhzhzuzu I,0,2026-07-09 17:06:28+00:00,12,2,Neutral
@yashak2219,Snitch kidhar hai bhai youtube ke ad me to halla macha rakha hai🤔🤔🤔🧐🧐 😂😂😂,0,2026-07-09 10:26:00+00:00,73,14,Positive
@asifkhan-ss9ft,Half sleeve shirt pe bhi asi video ho jaye,0,2026-07-09 07:47:48+00:00,42,9,Neutral
@Ajayransore19,Tu rhene de bhai,0,2026-07-09 05:56:38+00:00,16,4,Neutral
@dakshnagar13,Off duty?,0,2026-07-09 03:22:34+00:00,9,2,Neutral
@innocentvikram18,Bhai ek suggestion hai pet Kam kar le baht bura lagta hai 😢,1,2026-07-09 01:12:57+00:00,59,13,Negative
@zaidfazalwala2930,"Bhai ye bura mat lagana pr telu jhaant ni pata..
Sab bekaar brands hai..
Urbano ke jeans literally ek wash mai khatam ho jaati hai.",0,2026-07-09 00:07:11+00:00,131,25,Neutral
@parvezalamm,try to share myntra link instead of amazon for clothing and footwear,0,2026-07-08 22:07:00+00:00,68,12,Positive
@LakshayThakurrr,https://youtu.be/AWbV2BoPiVo?si=QUHnxLWngr7FhQjW,0,2026-07-08 19:37:49+00:00,48,1,Neutral
@GL_X_Akhil69,Bhaiya budget leather jacket par video bana do,0,2026-07-08 18:00:22+00:00,46,8,Neutral
@KRISHNASHARMA-ty6bp,Hello bhai kya aap ek video gym essential pe bana sakte ho ki kya kya leja na chaiye gym mei rather than fashion essential more aur ache duffle bhi,0,2026-07-08 17:29:15+00:00,147,29,Negative
@lovegutts2366,"Killer' Spykar ,Pepe jeans, being human' flying Machine' in SAB brand ki kyon nahin baat karte ho bro",0,2026-07-08 17:26:22+00:00,101,18,Negative
@lovegutts2366,Bhai aap har jeans mein 100% cotton ka use kar rahe ho but fabric key composition dikhai nahin rahe ho 😅,0,2026-07-08 17:23:59+00:00,104,21,Positive
@lovegutts2366,Yah girls jeans hi banate hain isiliye inke workers West area ko Shayad mance ke according nahin banaa rahe hain😅,0,2026-07-08 17:22:35+00:00,113,20,Positive
@lovegutts2366,Bilkul Levis mein ab vah baat nahin Hai,0,2026-07-08 17:21:21+00:00,39,8,Neutral
@lovegutts2366,Video mein aap jitne acche se bol rahe ho 100% cotton a fabric composition bhi dikha sakte the (I love your content brother but yahan mein Thoda Sa confuse hu),0,2026-07-08 17:19:53+00:00,159,30,Positive
@lovegutts2366,(Urbano) iski jeans ki jo fabric hai raw denim type banai gai hai ismein fabric ki composition I think 98% cotton and 2% spandex ke Sath Hai is vajah se yah jeans thoda versatile aur thoda boring feel ho raha hai but basic jeans ke according yah good,0,2026-07-08 17:17:55+00:00,250,48,Positive
@nishantranjan8509,Levi's 555....ultimate,4,2026-07-08 17:16:25+00:00,22,2,Neutral
@lovegutts2366,(Symbol)800 ke according fabric or wash achcha dikh raha hai(but 5 se 6 varsh mein iski condition aisi nahin rahegi ise dekhkar lag raha hai),0,2026-07-08 17:15:43+00:00,141,25,Negative
@lovegutts2366,I think kapde ki jo fabric hai usmein appendix ka jyada use hua Hai is vajah Se vah thodi fail Si gai,5,2026-07-08 17:14:02+00:00,101,22,Negative
@Akashdas-d8u,Nowadays gareeb is one kind of gali brother so before you are using this word say I am not taking about your status brother😂,0,2026-07-08 17:11:15+00:00,124,24,Positive
@ayusharya434,Try mufti and spykar,1,2026-07-08 17:02:24+00:00,20,4,Neutral
@muditx021,Brother make review of Uniqlo JW Anderson Jeans collection,1,2026-07-08 16:56:40+00:00,58,9,Positive
@RosHem21,Long hair products pe video,0,2026-07-08 16:52:02+00:00,27,5,Neutral
@Priyanshuu7720,Levi's never disappoints🙌,51,2026-07-08 16:50:10+00:00,25,3,Positive
@Rohitkumar-qm5dv,Saari jeans unpressed,0,2026-07-08 16:37:32+00:00,21,3,Neutral
@sayan_sonu_7525,Try John Player Jeans's Jeans from AJIO and we'll be blown away with the quality and they are available under 1000,0,2026-07-08 16:28:44+00:00,114,21,Neutral
@ahnaf4942,Capsule wardrobe,6,2026-07-08 16:18:29+00:00,16,2,Neutral
@kaushik_0106,Thank u bye I am waiting for your video for this for college day to day use 😊,1,2026-07-08 16:06:22+00:00,77,18,Positive
@Ultimate-1807,Varsity Jackets under 2k,6,2026-07-08 15:33:50+00:00,24,4,Neutral
@nabeel2424,Bhai snitch ko toh include hi nahi kiya 🥸,0,2026-07-08 15:31:21+00:00,41,9,Neutral
@Namanbhadoriya254,American eagle review karo bhai,0,2026-07-08 15:24:19+00:00,31,5,Neutral
@namitadlakha5963,untld and offduty?,1,2026-07-08 15:16:46+00:00,18,3,Neutral
@Niteshekka05,Off duty straight fit jeans,3,2026-07-08 15:04:52+00:00,27,5,Positive
@Geniousgaming-t5p,Bhai kuch clothing brands batao ham college students ke liye jo online available ho,0,2026-07-08 14:46:59+00:00,83,14,Neutral
@rishabhgrover8739,Pants pe bhi aaisi hi video please bhai,4,2026-07-08 14:05:42+00:00,39,8,Positive
